Start Date,End Date,Program Title,Faculty Director,Term,Number of Participants,Country,Countries Visited,Photos
1988/03,1988/06,Interdisciplinary In Australia,Keith Harrison & Gary Wagenbach,Spring,41,Australia,Australia
1987/06,1987/08,International Relations Seminar In Geneva,Hartley Clark,Summer,26,Switzerland,Switzerland
1988/1,1988/03,Spanish Seminar In Morelia,Diane Pearsall,Winter,14,Mexico,Mexico
1989/1,1989/03,Archeology & Anthropology In Nepal,James F. Fisher & Nancy Wilkie,Winter,16,Nepal,Nepal
1988/06,1988/08,Economics Seminar In Cambridge,Martha Paas,Summer,22,UK,UK
1989/03,1989/06,English Seminar In Dublin,James McDonnell,Spring,25,Ireland,Ireland
1988/08,1988/11,English Seminar In London,Ed Sostek,Fall,25,UK,UK
1989/03,1989/06,French Language In Pau I,Françoise Defrecheux,Spring,21,France,France
1989/03,1989/06,French Language In Pau II,Patrick Lobert,Winter/Spring,9,France,France
1988/08,1988/11,German Seminar In Nuremberg,Roger Paas,Fall,16,Germany,Germany
1989/03,1989/06,Interdisciplinary Seminar In Paris,Geneviève Soulas-Link & Carl Weiner,Spring,22,France,France
1989/1,1989/03,"Political Science Seminar In Washington, D.C.",Steven Schier,Winter,20,USA,USA
1989/1,1989/03,Spanish Seminar In Morelia,Becky Boling,Winter,14,Mexico,Mexico
1989/08,1989/11,Art History In Greece,Dale Haworth,Fall,16,Greece,Greece
1989/06,1989/08,Economics Seminar In Cambridge,H. Scott Bierman,Summer,21,UK,UK
1990/1,1990/03,English & Psychology Seminar In London,Constance Walker & Neil Lutsky,Winter,36,UK,UK
1990/03,1990/06,French Language In Pau I,Chérif Keïta,Spring,13,France,France
1990/03,1990/06,French Language In Pau II,Patrick Lobert,Winter/Spring,18,France,France
1990/1,1990/03,Geology In Bermuda,Audrey Massa,Winter,21,Bermuda,Bermuda
1989/08,1989/11,"German Seminar In Graz, Austria",Anne Ulmer,Fall,18,Austria,Austria
